subj,mag,resp
1,0,-2.46918568502085
1,3,6.11413443944395
1,-3,-7.78365913777277
1,6,10.5210036639482
1,-6,-11.9757583953209
1,9,16.355946879547
1,-9,-16.2354162162808
1,12,20.8594062933919
1,-12,-12.7447763712173
2,0,1.02076863391424
2,3,1.66878984817378
2,-3,-6.09772720847299
2,6,15.0897386502285
2,-6,-7.53106032751141
2,9,15.6028432967912
2,-9,-16.5277257819826
2,12,16.1032084749132
2,-12,-11.8534094186897
3,0,-1.39619538162923
3,3,3.98810707414699
3,-3,-6.89607984104638
3,6,9.47054492748911
3,-6,-12.3287128411388
3,9,16.2717602223623
3,-9,-18.6369310937326
3,12,20.3003301649495
3,-12,-20.1493176277739
4,0,-0.696195381629231
4,3,6.98810707414699
4,-3,-0.896079841046376
4,6,11.8705449274891
4,-6,-11.5287128411388
4,9,9.57176022236231
4,-9,-14.9369310937326
4,12,16.7003301649495
4,-12,-16.2493176277739
5,0,-0.696195381629231
5,3,9.08810707414699
5,-3,-2.49607984104638
5,6,12.4705449274891
5,-6,-15.3287128411388
5,9,20.5717602223623
5,-9,-17.2369310937326
5,12,22.1003301649494
5,-12,-17.4493176277739
6,0,-0.49619538162923
6,3,8.48810707414699
6,-3,-1.59607984104638
6,6,10.8705449274891
6,-6,-13.1287128411388
6,9,18.2717602223623
6,-9,-18.3369310937326
6,12,23.9003301649494
6,-12,-20.0493176277739
7,0,-0.396195381629232
7,3,5.88810707414699
7,-3,-5.29607984104637
7,6,13.6705449274891
7,-6,-15.4287128411388
7,9,18.3717602223623
7,-9,-19.2369310937326
7,12,15.1003301649494
7,-12,-17.9493176277739
8,0,-1.29619538162924
8,3,4.58810707414699
8,-3,-8.29607984104638
8,6,11.1705449274891
8,-6,-13.9287128411388
8,9,17.0717602223623
8,-9,-10.0369310937326
8,12,4.00033016494946
8,-12,-11.4493176277739
9,0,-1.69619538162923
9,3,1.58810707414699
9,-3,-8.59607984104638
9,6,11.3705449274891
9,-6,-13.7287128411388
9,9,14.5717602223623
9,-9,-18.1369310937326
9,12,13.2003301649495
9,-12,-16.8493176277739
10,0,1.80380461837077
10,3,6.48810707414699
10,-3,-4.39607984104638
10,6,13.3705449274891
10,-6,-17.1287128411388
10,9,18.3717602223623
10,-9,-21.1369310937326
10,12,27.9003301649494
10,-12,-15.4493176277739
11,0,-1.29619538162923
11,3,6.88810707414699
11,-3,-3.69607984104638
11,6,9.47054492748911
11,-6,-11.1287128411388
11,9,15.9717602223623
11,-9,-11.5369310937326
11,12,19.3003301649495
11,-12,-19.8493176277739
12,0,1.50380461837077
12,3,6.98810707414699
12,-3,-4.39607984104638
12,6,10.7705449274891
12,-6,-12.5287128411388
12,9,18.6717602223623
12,-9,-17.5369310937326
12,12,20.9003301649495
12,-12,-19.9493176277739
13,0,-0.396195381629232
13,3,7.18810707414699
13,-3,-7.09607984104638
13,6,17.2705449274891
13,-6,-17.6287128411388
13,9,16.8717602223623
13,-9,-17.4369310937326
13,12,20.7003301649495
13,-12,-18.3493176277739
14,0,-2.69619538162923
14,3,12.688107074147
14,-3,-5.09607984104638
14,6,18.1705449274891
14,-6,-12.3287128411388
14,9,22.0717602223623
14,-9,-13.2369310937326
14,12,29.6003301649494
14,-12,-16.6493176277739
15,0,9.70380461837076
15,3,13.388107074147
15,-3,3.10392015895362
15,6,4.57054492748911
15,-6,-12.7287128411388
15,9,18.3717602223623
15,-9,-9.03693109373257
15,12,20.8003301649495
15,-12,-4.94931762777389
16,0,1.90380461837077
16,3,11.788107074147
16,-3,-1.19607984104637
16,6,21.8705449274891
16,-6,-10.2287128411388
16,9,26.2717602223623
16,-9,-16.3369310937326
16,12,29.2003301649494
16,-12,-19.2493176277739
17,0,3.50380461837077
17,3,8.68810707414699
17,-3,-3.59607984104638
17,6,16.5705449274891
17,-6,-5.92871284113876
17,9,16.5717602223623
17,-9,-6.63693109373257
17,12,21.0003301649495
17,-12,-5.64931762777389
18,0,1.70380461837077
18,3,6.48810707414699
18,-3,-1.89607984104638
18,6,14.0705449274891
18,-6,-9.12871284113876
18,9,20.5717602223623
18,-9,-17.8369310937326
18,12,22.5003301649494
18,-12,-19.6493176277739
19,0,-0.296195381629231
19,3,4.48810707414699
19,-3,-5.49607984104638
19,6,11.3705449274891
19,-6,-7.82871284113876
19,9,6.17176022236231
19,-9,-8.33693109373257
19,12,14.1003301649495
19,-12,-5.64931762777389
20,0,-1.99619538162923
20,3,9.88810707414699
20,-3,-4.79607984104638
20,6,19.1705449274891
20,-6,-11.0287128411388
20,9,24.2717602223623
20,-9,-17.4369310937326
20,12,23.4003301649494
20,-12,-19.3493176277739
